rate,sload,sbytes,dload,proto,dtcpb,stcpb,dmean,tcprtt,dur,label
-0.5591072553759481,-0.3616411367763547,0.0977184311602801,-0.2602827913799354,0.3236522387873948,1.1515795970195692,1.1432546529730658,-0.144316268808097,-0.4389146232473654,-0.1453600578205177,0
-0.5598033447540004,-0.3626218135825114,0.1513653016997704,-0.2738583772052246,0.3236522387873948,0.614502299975688,0.6056022729623884,-0.1730462263268874,-0.0230636398910229,-0.0614296193450142,1
-0.5296813351394717,-0.3597322680995858,-0.0289807730380599,6.196648564304702,0.3236522387873948,-0.6966182602051171,-0.7119014866219932,3.397677065294204,-0.4391259081693024,-0.213009922939684,0
0.1569518606962388,-0.1641491070995372,-0.0504970899948776,-0.2793505039180604,-0.1565080173413656,-0.7497136769054038,-0.7543840313871636,-0.4849714793880402,-0.4449658234116402,-0.2194955992011537,1
0.1569518606962388,0.0206629369516401,-0.050113298388067,-0.2793505039180604,-0.0457018043885747,-0.7497136769054038,-0.7543840313871636,-0.4849714793880402,-0.4449658234116402,-0.2194961739431681,1
-0.5601090823918936,-0.3643262011038478,-0.0473947745064921,-0.2757058643795835,0.3236522387873948,0.9978098867487,1.7619822108757657,-0.1648376670358045,0.3514177557500609,-0.0925530489086732,1
-0.5192932903496437,-0.3577811308869607,-0.0390872853507383,5.681461401544257,0.3236522387873948,0.5098704606132366,0.5050301795184129,2.1704974512773,-0.4389061718504879,-0.2170617104556834,0
-0.5420461546711123,-0.3619721180314412,-0.050329181166898,-0.0383126161687066,0.5452646646929766,-0.7497136769054038,-0.7543840313871636,-0.1196905909348481,-0.4449658234116402,-0.2193280619039568,0
-0.5601704095247461,-0.3643052752838696,-0.0486420972286265,-0.2768322766534364,0.5452646646929766,-0.7497136769054038,-0.7543840313871636,-0.1730462263268874,-0.4449658234116402,-0.1780631658107485,0
-0.5598197657912095,-0.364244843382014,-0.0477705704548275,-0.2683169210948259,0.3236522387873948,-0.2677081570237213,-0.6042055667801005,-0.0129793201507695,0.0192271500838807,-0.1861086918992934,1
